최저 기온 날짜,최저 기온,최고 기온 날짜,최고 기온
1907-01-31,-7.0,1907-01-31,0.8
1907-01-31,-7.0,1907-01-31,0.8
1907-01-31,-7.0,1907-01-31,0.8
1907-01-31,-7.0,1907-01-31,0.8
1907-01-31,-7.0,1907-01-31,0.8
1907-01-31,-7.0,1907-01-31,0.8
1907-01-31,-7.0,1907-01-31,0.8
1907-01-31,-7.0,1907-01-31,0.8
1907-01-31,-7.0,1907-01-31,0.8
1907-01-31,-7.0,1907-01-31,0.8
1907-01-31,-7.0,1907-02-10,4.8
1907-01-31,-7.0,1907-02-10,4.8
1907-01-31,-7.0,1907-02-10,4.8
1907-01-31,-7.0,1907-02-10,4.8
1907-01-31,-7.0,1907-02-10,4.8
1907-01-31,-7.0,1907-02-10,4.8
1907-01-31,-7.0,1907-02-10,4.8
1907-01-31,-7.0,1907-02-10,4.8
1907-01-31,-7.0,1907-02-10,4.8
1907-01-31,-7.0,1907-02-10,4.8
1907-01-31,-7.0,1907-02-20,7.6
1907-01-31,-7.0,1907-02-20,7.6
1907-01-31,-7.0,1907-02-20,7.6
1907-01-31,-7.0,1907-02-20,7.6
1907-01-31,-7.0,1907-02-20,7.6
1907-01-31,-7.0,1907-02-20,7.6
1907-01-31,-7.0,1907-02-20,7.6
1907-01-31,-7.0,1907-02-27,15.5
1907-01-31,-7.0,1907-02-27,15.5
1907-01-31,-7.0,1907-02-27,15.5
1907-01-31,-7.0,1907-02-27,15.5
1907-01-31,-7.0,1907-02-27,15.5
1907-01-31,-7.0,1907-02-27,15.5
1907-01-31,-7.0,1907-02-27,15.5
1907-01-31,-7.0,1907-02-27,15.5
1907-01-31,-7.0,1907-02-27,15.5
1907-01-31,-7.0,1907-02-27,15.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
1907-01-31,-7.0,1907-03-09,22.5
