사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
23.Dec,1호선,150,서울역,1442704,1404121,211843,203808
23.Dec,1호선,151,시청,696784,684254,99882,98107
23.Dec,1호선,152,종각,1010849,985165,162696,152064
23.Dec,1호선,153,종로3가,488467,450427,310689,286850
23.Dec,1호선,154,종로5가,483866,476917,246504,239266
23.Dec,1호선,155,동대문,236114,228110,128542,127639
23.Dec,1호선,156,신설동,289402,276992,120282,116775
23.Dec,1호선,157,제기동,231358,219338,256218,272510
23.Dec,1호선,158,청량리(서울시립대입구),380606,372443,274847,276209
23.Dec,1호선,159,동묘앞,144443,150931,146515,148571
23.Dec,2호선,201,시청,697558,629317,61727,56189
23.Dec,2호선,202,을지로입구,1399572,1418244,119872,110914
23.Dec,2호선,203,을지로3가,649983,636802,78399,76370
23.Dec,2호선,204,을지로4가,317873,326029,77737,77350
23.Dec,2호선,205,동대문역사문화공원(DDP),397184,470844,59972,64609
23.Dec,2호선,206,신당,346163,372336,93120,95854
23.Dec,2호선,207,상왕십리,353125,340449,69110,69442
23.Dec,2호선,208,왕십리(성동구청),422889,379790,55587,49671
23.Dec,2호선,209,한양대,292705,319697,13543,14494
23.Dec,2호선,210,뚝섬,659564,693655,61554,61652
23.Dec,2호선,211,성수,1149979,1264676,102429,103810
23.Dec,2호선,212,건대입구,1045524,1115033,98723,102276
23.Dec,2호선,213,구의(광진구청),613573,592710,108726,109469
23.Dec,2호선,214,강변(동서울터미널),836412,791150,123772,118326
23.Dec,2호선,215,잠실나루,336712,323745,91495,90966
23.Dec,2호선,216,잠실(송파구청),2407622,2389008,230837,222781
23.Dec,2호선,217,잠실새내,591563,597566,116613,114943
23.Dec,2호선,218,종합운동장,240493,264095,48865,50666
23.Dec,2호선,219,삼성(무역센터),1547955,1528549,128153,117439
23.Dec,2호선,220,선릉,1301816,1146995,226642,198162
23.Dec,2호선,221,역삼,1171020,1334723,150688,153741
23.Dec,2호선,222,강남,2147804,2103543,167806,145911
23.Dec,2호선,223,교대(법원.검찰청),698451,849482,155703,188110
23.Dec,2호선,224,서초,540940,515045,97642,97923
23.Dec,2호선,225,방배,404154,419595,80096,79508
23.Dec,2호선,226,사당,1022015,1129342,238624,224078
23.Dec,2호선,227,낙성대(강감찬),697376,663721,109130,111635
23.Dec,2호선,228,서울대입구(관악구청),1171481,1139798,181344,171398
23.Dec,2호선,229,봉천,548024,500084,152147,150810
23.Dec,2호선,230,신림,1416606,1350430,208689,206669
23.Dec,2호선,231,신대방,617971,588536,129595,130197
23.Dec,2호선,232,구로디지털단지,1430091,1403831,196977,196563
23.Dec,2호선,233,대림(구로구청),584957,597963,132813,136621
23.Dec,2호선,234,신도림,1264678,1257867,233371,221381
23.Dec,2호선,235,문래,548232,567077,88254,88222
23.Dec,2호선,236,영등포구청,515106,535201,103404,102121
23.Dec,2호선,237,당산,452274,526081,60369,65450
23.Dec,2호선,238,합정,936774,1031529,72107,72715
23.Dec,2호선,239,홍대입구,2177364,2372022,103855,101215
23.Dec,2호선,240,신촌,1037856,1067467,126570,125203
23.Dec,2호선,241,이대,424899,461817,49726,52003
23.Dec,2호선,242,아현,254011,234003,64701,63158
23.Dec,2호선,243,충정로(경기대입구),242585,258721,48041,48351
23.Dec,2호선,244,용답,69934,68523,17181,16910
23.Dec,2호선,245,신답,37179,41423,9504,10469
23.Dec,2호선,246,신설동,81506,77976,33233,35341
23.Dec,2호선,247,도림천,27700,29130,7578,8700
23.Dec,2호선,248,양천구청,147190,155538,51800,52999
23.Dec,2호선,249,신정네거리,227327,232500,76010,77880
23.Dec,2호선,250,용두(동대문구청),49941,48368,23920,24727
23.Dec,3호선,309,지축,168554,164687,35658,33968
23.Dec,3호선,310,구파발,502327,491819,129356,124238
23.Dec,3호선,311,연신내,763903,725202,262648,254466
23.Dec,3호선,312,불광,343882,365334,142735,157449
23.Dec,3호선,313,녹번,373015,330825,81300,79913
23.Dec,3호선,314,홍제,389802,367603,148093,146927
23.Dec,3호선,315,무악재,94699,91152,32569,34379
23.Dec,3호선,316,독립문,152460,156813,68384,68125
23.Dec,3호선,317,경복궁(정부서울청사),656807,674328,94522,92637
23.Dec,3호선,318,안국,648087,674970,101717,107150
23.Dec,3호선,319,종로3가,245424,295038,66515,76545
23.Dec,3호선,320,을지로3가,292581,301563,52428,49951
23.Dec,3호선,321,충무로,65,0,2,0
23.Dec,3호선,322,동대입구,277700,305286,41327,44929
23.Dec,3호선,323,약수,303511,294770,85232,80290
23.Dec,3호선,324,금호,181440,165407,56710,55162
23.Dec,3호선,325,옥수,198591,205147,60429,60527
23.Dec,3호선,326,압구정,813866,890821,142238,142509
23.Dec,3호선,327,신사,774933,815465,72859,70918
23.Dec,3호선,328,잠원,115238,109019,32390,31069
23.Dec,3호선,329,고속터미널,1354909,1310489,227210,212720
23.Dec,3호선,330,교대(법원.검찰청),386297,227187,91509,49808
23.Dec,3호선,331,남부터미널(예술의전당),744620,756175,128952,129745
23.Dec,3호선,332,양재(서초구청),888586,976681,162979,163551
23.Dec,3호선,333,매봉,279257,272947,74088,70113
23.Dec,3호선,334,도곡,119172,125137,27094,27530
23.Dec,3호선,335,대치,259286,257014,74045,71719
23.Dec,3호선,336,학여울,57930,59665,19968,19590
23.Dec,3호선,337,대청,244341,227668,64490,62079
23.Dec,3호선,338,일원,244148,233891,72596,72140
23.Dec,3호선,339,수서,441466,449863,120331,118324
23.Dec,3호선,340,가락시장,189770,188625,86300,84339
23.Dec,3호선,341,경찰병원,166800,164920,44494,46010
23.Dec,3호선,342,오금,151504,135449,34021,32463
23.Dec,4호선,409,당고개,207299,173514,76477,75361
23.Dec,4호선,410,상계,446502,406992,128634,125381
23.Dec,4호선,411,노원,579676,672482,132026,139281
23.Dec,4호선,412,창동,552753,582567,222265,228061
23.Dec,4호선,413,쌍문,681718,616312,181269,178900
23.Dec,4호선,414,수유(강북구청),818329,816779,202718,204140
23.Dec,4호선,415,미아(서울사이버대학),337007,317259,118883,120293
23.Dec,4호선,416,미아사거리,617678,600442,193262,192295
23.Dec,4호선,417,길음,511934,499488,125820,126195
23.Dec,4호선,418,성신여대입구(돈암),567388,547297,92850,91076
23.Dec,4호선,419,한성대입구(삼선교),341123,330603,76375,74404
23.Dec,4호선,420,혜화,1069953,1084767,139521,137680
23.Dec,4호선,421,동대문,423888,445673,148462,144625
23.Dec,4호선,422,동대문역사문화공원(DDP),519121,457498,65960,58992
23.Dec,4호선,423,충무로,738133,763096,125178,127089
23.Dec,4호선,424,명동,1015744,1136453,89184,94635
23.Dec,4호선,425,회현(남대문시장),630621,669249,197724,197751
23.Dec,4호선,426,서울역,314210,596767,42208,55589
23.Dec,4호선,427,숙대입구(갈월),383247,373096,57577,54088
23.Dec,4호선,428,삼각지,168070,200031,26371,28509
23.Dec,4호선,429,신용산,513125,547699,58577,58745
23.Dec,4호선,430,이촌(국립중앙박물관),216951,233721,48881,51355
23.Dec,4호선,431,동작(현충원),23176,27385,11311,11718
23.Dec,4호선,432,총신대입구(이수),410715,454252,154500,162193
23.Dec,4호선,433,사당,684086,623156,111639,120758
23.Dec,4호선,434,남태령,32263,24919,8694,7963
23.Dec,경부선,1001,서울역,296374,92707,17565,3915
23.Dec,경부선,1002,남영,246499,259743,38832,40047
23.Dec,경부선,1003,용산,1193865,1218297,141647,140342
23.Dec,경부선,1004,노량진,248151,269833,62436,64222
23.Dec,경부선,1005,대방,239836,269035,61146,63897
23.Dec,경부선,1006,영등포,1071783,1107731,306295,307586
23.Dec,경부선,1007,신도림,86005,87699,24314,28386
23.Dec,경부선,1032,신길,205712,170993,47116,43106
23.Dec,경부선,1701,구로,420246,439755,106699,102899
23.Dec,경부선,1702,가산디지털단지,405438,470996,38764,42454
23.Dec,경부선,1703,금천구청,246519,246860,81132,82540
23.Dec,경부선,1704,석수,216914,194291,49319,46639
23.Dec,경부선,1705,관악,164546,155514,56081,55242
23.Dec,경부선,1706,안양,568873,563059,125769,130109
23.Dec,경부선,1707,명학,203121,199026,43465,42642
23.Dec,경부선,1708,금정,685756,694360,131613,133083
23.Dec,경부선,1709,군포,159155,155699,38974,37790
23.Dec,경부선,1710,의왕,213516,208481,46257,45671
23.Dec,경부선,1711,성균관대,389458,379969,60829,61211
23.Dec,경부선,1712,화서,209741,201012,48635,47545
23.Dec,경부선,1713,수원,1056906,1120063,161213,163739
23.Dec,경부선,1714,독산,414243,422887,70613,72674
23.Dec,경부선,1715,세류,83970,76961,17014,16687
23.Dec,경부선,1716,병점,390642,390098,71934,71663
23.Dec,경부선,1717,세마,78652,73310,16784,15648
23.Dec,경부선,1718,오산대,94103,86020,16781,15853
23.Dec,경부선,1719,오산,271390,270164,52476,53140
23.Dec,경부선,1720,진위,39602,35005,9317,8723
23.Dec,경부선,1721,송탄,122186,119800,21642,21244
23.Dec,경부선,1722,서정리,231604,209742,36358,35161
23.Dec,경부선,1723,평택지제,127243,120538,14181,13904
23.Dec,경부선,1724,평택,361647,358506,69469,68249
23.Dec,경부선,1725,성환,118369,114774,20156,19792
23.Dec,경부선,1726,직산,22598,22211,5024,4724
23.Dec,경부선,1727,두정,205231,215216,28820,29608
23.Dec,경부선,1728,천안,167314,157606,56028,55301
23.Dec,경부선,1729,당정,148832,140040,33198,31523
23.Dec,경부선,1749,서동탄,34415,31205,7588,7209
23.Dec,경부선,1750,광명,108039,89780,11232,10561
23.Dec,경인선,1801,개봉,476382,458358,166160,171679
23.Dec,경인선,1802,오류동,250868,228982,91880,89802
23.Dec,경인선,1803,역곡,625166,612791,156355,161298
23.Dec,경인선,1804,부천,736165,737590,226115,228644
23.Dec,경인선,1805,송내,633862,620304,130802,128832
23.Dec,경인선,1806,부평,737388,793106,155075,158073
23.Dec,경인선,1807,백운,157192,149960,61209,61224
23.Dec,경인선,1808,동암,359055,357785,109144,110343
23.Dec,경인선,1809,주안,472892,422227,98236,87625
23.Dec,경인선,1810,제물포,239118,225794,65575,64773
23.Dec,경인선,1811,동인천,304723,286110,121072,118385
23.Dec,경인선,1812,인천,77796,57932,30573,26963
23.Dec,경인선,1813,구일,161952,161876,45683,44643
23.Dec,경인선,1814,소사,166697,159333,61454,60012
23.Dec,경인선,1815,부개,186343,170117,69056,67529
23.Dec,경인선,1816,간석,125014,117562,46739,45298
23.Dec,경인선,1817,도원,60167,60348,27987,29513
23.Dec,경인선,1821,온수(성공회대입구),135015,124385,50707,49378
23.Dec,경인선,1822,중동,192314,175877,75332,74354
23.Dec,경인선,1823,도화,81962,72833,38675,37566
23.Dec,경원선,1008,이촌(국립중앙박물관),85323,65972,30840,25925
23.Dec,경원선,1009,서빙고,46918,44498,18061,17680
23.Dec,경원선,1010,한남,86323,85539,30145,28021
23.Dec,경원선,1011,옥수,1710,1220,184,85
23.Dec,경원선,1012,응봉,38613,32542,16884,15387
23.Dec,경원선,1013,왕십리(성동구청),432395,436913,77564,80112
23.Dec,경원선,1014,청량리(서울시립대입구),401316,415408,151904,157618
23.Dec,경원선,1016,외대앞,241846,231601,46034,46536
23.Dec,경원선,1017,신이문,180541,162901,68289,66603
23.Dec,경원선,1018,석계,166202,188563,61399,66325
23.Dec,경원선,1019,광운대,189069,180873,56184,55239
23.Dec,경원선,1020,월계,145258,131080,62978,60932
23.Dec,경원선,1021,녹천,91918,74914,36688,33218
23.Dec,경원선,1022,창동,7,0,3,0
23.Dec,경원선,1901,방학,182362,177261,112587,110428
23.Dec,경원선,1902,도봉,99769,93515,70084,69636
23.Dec,경원선,1903,도봉산,126412,67191,102926,79814
23.Dec,경원선,1904,망월사,168505,168636,71873,73178
23.Dec,경원선,1905,회룡,229317,223880,154444,152266
23.Dec,경원선,1906,의정부,460450,475647,122790,123557
23.Dec,경원선,1907,가능,132362,125416,56932,56447
