사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Dec.23,1호선,0150,서울역,700 ,35 ,7812 ,8436 ,12190 ,50415 ,37075 ,105313 ,68020 ,218007 ,67218 ,160369 ,65860 ,86649 ,87205 ,81378 ,99445 ,93380 ,98032 ,93064 ,81738 ,83771 ,112561 ,90559 ,123825 ,93455 ,182378 ,104337 ,214755 ,101935 ,119593 ,74342 ,89409 ,54361 ,91804 ,51756 ,61927 ,34379 ,29690 ,15733 ,3170 ,4088 ,140 ,1884 ,0 ,283 ,0 ,0 
Dec.23,1호선,0151,시청,73 ,1 ,2208 ,4356 ,3731 ,21903 ,7341 ,63969 ,9896 ,182565 ,13154 ,92045 ,16154 ,46463 ,24270 ,46121 ,25700 ,41838 ,30713 ,41373 ,40322 ,36188 ,50287 ,34507 ,61565 ,36497 ,93191 ,41386 ,154694 ,36383 ,69657 ,18213 ,67783 ,11988 ,63805 ,10626 ,42298 ,8058 ,14481 ,5965 ,4290 ,1523 ,1053 ,383 ,0 ,10 ,0 ,0 
Dec.23,1호선,0152,종각,167 ,1 ,4280 ,4932 ,4329 ,25201 ,6459 ,98556 ,10114 ,244858 ,12834 ,148416 ,18502 ,66602 ,30102 ,65782 ,37400 ,59982 ,45582 ,56708 ,57861 ,49509 ,72271 ,46515 ,84489 ,54393 ,148105 ,67020 ,205312 ,67839 ,101586 ,32480 ,98122 ,16718 ,107978 ,13134 ,85772 ,11622 ,38020 ,5317 ,2621 ,1402 ,1638 ,241 ,1 ,1 ,0 ,0 
Dec.23,1호선,0153,종로3가,230 ,16 ,4174 ,2538 ,3621 ,11378 ,5454 ,23309 ,8475 ,61562 ,12940 ,61089 ,19368 ,54571 ,30942 ,68785 ,42397 ,73273 ,48587 ,64457 ,59229 ,57346 ,69325 ,49978 ,76114 ,50073 ,86128 ,48990 ,92626 ,45431 ,58978 ,22308 ,52809 ,12584 ,54736 ,10317 ,44161 ,8350 ,20706 ,7655 ,7239 ,2844 ,917 ,422 ,0 ,1 ,0 ,0 
Dec.23,1호선,0154,종로5가,40 ,2 ,1862 ,3023 ,3027 ,14468 ,5753 ,38726 ,9099 ,90539 ,13585 ,64668 ,22511 ,57653 ,35954 ,62739 ,46369 ,63555 ,55544 ,56887 ,63057 ,53508 ,69237 ,45977 ,71810 ,43502 ,89908 ,39045 ,93615 ,33528 ,49724 ,18273 ,36565 ,10528 ,35351 ,7909 ,19670 ,6321 ,6958 ,3905 ,627 ,1275 ,104 ,152 ,0 ,0 ,0 ,0 
Dec.23,1호선,0155,동대문,876 ,24 ,11117 ,2085 ,8840 ,5685 ,14001 ,9896 ,19766 ,17228 ,19131 ,20927 ,17494 ,22928 ,19327 ,27675 ,23403 ,29274 ,26529 ,26371 ,28599 ,25673 ,30001 ,24180 ,30069 ,23446 ,28263 ,22780 ,24101 ,22687 ,17016 ,19837 ,14983 ,14699 ,13598 ,13701 ,10911 ,13145 ,5481 ,9947 ,993 ,3017 ,157 ,464 ,0 ,80 ,0 ,0 
Dec.23,1호선,0156,신설동,416 ,30 ,8628 ,1943 ,9192 ,8105 ,19443 ,20328 ,29568 ,51992 ,20702 ,31823 ,18772 ,21435 ,21056 ,19520 ,23500 ,19545 ,25079 ,20413 ,24316 ,19925 ,25827 ,21353 ,32338 ,23023 ,41449 ,24920 ,49706 ,29737 ,19646 ,21695 ,14492 ,15767 ,12236 ,15491 ,8866 ,13666 ,4050 ,9919 ,382 ,2775 ,20 ,362 ,0 ,0 ,0 ,0 
Dec.23,1호선,0157,제기동,398 ,5 ,4926 ,2045 ,7896 ,8073 ,19163 ,18337 ,30564 ,33073 ,22514 ,30452 ,23631 ,33402 ,30945 ,42908 ,37240 ,45002 ,40622 ,47356 ,44307 ,45711 ,48986 ,38188 ,47618 ,32927 ,42953 ,27530 ,35642 ,25796 ,19209 ,17665 ,12782 ,12263 ,9263 ,11515 ,6232 ,10626 ,2512 ,7006 ,163 ,1762 ,10 ,205 ,0 ,1 ,0 ,0 
Dec.23,1호선,0158,청량리(서울시립대입구),988 ,51 ,10364 ,2548 ,16198 ,11446 ,42147 ,16179 ,53214 ,34154 ,35344 ,33452 ,31854 ,36786 ,37309 ,45901 ,42987 ,49820 ,46515 ,52350 ,50203 ,52631 ,56254 ,50046 ,59903 ,46268 ,54195 ,46261 ,43118 ,52194 ,24230 ,34515 ,19680 ,23311 ,15748 ,22938 ,10605 ,19739 ,4316 ,12835 ,246 ,4484 ,35 ,743 ,0 ,0 ,0 ,0 
Dec.23,1호선,0159,동묘앞,186 ,2 ,2785 ,956 ,3330 ,4326 ,7069 ,7749 ,11703 ,18470 ,10199 ,15954 ,11962 ,19840 ,16373 ,27565 ,22943 ,32275 ,28726 ,34676 ,34569 ,30979 ,35149 ,26004 ,34689 ,19285 ,29977 ,13261 ,17921 ,11186 ,8448 ,8487 ,5722 ,6488 ,4445 ,7004 ,3328 ,7205 ,1273 ,4639 ,142 ,2285 ,19 ,574 ,0 ,292 ,0 ,0 
Dec.23,2호선,0201,시청,58 ,0 ,832 ,1697 ,2266 ,16645 ,5263 ,64223 ,8250 ,208991 ,11726 ,91597 ,18957 ,31382 ,26180 ,28642 ,26493 ,26752 ,30785 ,28777 ,36392 ,25773 ,44060 ,25156 ,54828 ,24909 ,105671 ,29781 ,161292 ,29222 ,62871 ,15150 ,54461 ,10456 ,53011 ,10063 ,35289 ,8046 ,14396 ,5677 ,4657 ,2021 ,1534 ,521 ,13 ,25 ,0 ,0 
Dec.23,2호선,0202,을지로입구,68 ,1 ,2461 ,2722 ,4386 ,27074 ,10290 ,117184 ,17234 ,315161 ,23430 ,163517 ,32247 ,91905 ,45082 ,80658 ,50567 ,73535 ,61564 ,76399 ,73736 ,71586 ,89367 ,73330 ,106741 ,82279 ,177409 ,96767 ,279142 ,94162 ,147973 ,54907 ,153136 ,34733 ,109010 ,29509 ,88711 ,22979 ,36324 ,14291 ,9547 ,5423 ,1011 ,976 ,8 ,60 ,0 ,0 
Dec.23,2호선,0203,을지로3가,21 ,0 ,1335 ,1815 ,2782 ,18834 ,6323 ,67072 ,11804 ,166796 ,15448 ,72368 ,21875 ,36028 ,26535 ,30559 ,29480 ,28869 ,32084 ,30908 ,35617 ,29121 ,39339 ,29114 ,49264 ,33864 ,91114 ,41077 ,128848 ,44725 ,58174 ,26891 ,47487 ,17217 ,51897 ,14576 ,46357 ,12294 ,26814 ,8073 ,5545 ,2497 ,239 ,463 ,0 ,11 ,0 ,0 
Dec.23,2호선,0204,을지로4가,18 ,1 ,894 ,1092 ,1961 ,13022 ,4993 ,33496 ,10025 ,74650 ,11590 ,39660 ,14776 ,25188 ,18643 ,25470 ,19780 ,23320 ,22524 ,22499 ,25888 ,21043 ,28876 ,19695 ,34068 ,18810 ,59017 ,19617 ,63226 ,18764 ,27983 ,12330 ,18220 ,9304 ,15558 ,9060 ,10709 ,8641 ,5462 ,5617 ,1322 ,1873 ,77 ,223 ,0 ,4 ,0 ,0 
Dec.23,2호선,0205,동대문역사문화공원(DDP),274 ,4 ,5222 ,1124 ,4033 ,8301 ,6894 ,20262 ,12108 ,46414 ,13580 ,33154 ,16677 ,31960 ,19895 ,30750 ,23989 ,32541 ,24728 ,33080 ,30112 ,34897 ,34685 ,33827 ,41811 ,33011 ,46865 ,35051 ,49801 ,38465 ,33570 ,33966 ,26334 ,25826 ,26636 ,22539 ,22420 ,21043 ,10970 ,14472 ,5932 ,4117 ,620 ,612 ,0 ,37 ,0 ,0 
Dec.23,2호선,0206,신당,39 ,2 ,6218 ,1188 ,10878 ,7884 ,25597 ,14794 ,46336 ,28318 ,28692 ,21912 ,20500 ,18411 ,19841 ,20809 ,23694 ,23346 ,24298 ,24818 ,24132 ,25152 ,25335 ,27863 ,30235 ,33402 ,33959 ,41761 ,32370 ,57107 ,22789 ,36541 ,18764 ,23937 ,17894 ,22180 ,16955 ,20887 ,8956 ,12912 ,1739 ,4605 ,61 ,320 ,1 ,41 ,0 ,0 
Dec.23,2호선,0207,상왕십리,60 ,1 ,5657 ,830 ,12622 ,5583 ,37494 ,11535 ,63165 ,28539 ,36721 ,17874 ,24018 ,13671 ,21904 ,13937 ,23413 ,15965 ,22123 ,17661 ,21256 ,19295 ,21631 ,22299 ,23603 ,26762 ,27712 ,36787 ,26991 ,52526 ,18717 ,34548 ,12148 ,24985 ,10975 ,24067 ,7955 ,22898 ,3497 ,14949 ,568 ,4923 ,5 ,251 ,0 ,5 ,0 ,0 
Dec.23,2호선,0208,왕십리(성동구청),691 ,9 ,6482 ,908 ,9478 ,7969 ,22826 ,11907 ,41777 ,26365 ,27776 ,18786 ,20562 ,15866 ,20627 ,17920 ,23708 ,19468 ,24271 ,21378 ,24382 ,22169 ,27154 ,24125 ,32810 ,28988 ,35970 ,39841 ,35953 ,56382 ,24063 ,34080 ,24235 ,22534 ,28936 ,20627 ,27857 ,19799 ,15931 ,13667 ,2888 ,5840 ,99 ,792 ,0 ,41 ,0 ,0 
Dec.23,2호선,0209,한양대,3 ,0 ,1266 ,567 ,2370 ,6599 ,5035 ,11276 ,8947 ,50252 ,6856 ,47959 ,8336 ,38149 ,13766 ,17359 ,16225 ,29634 ,20151 ,25721 ,22029 ,19920 ,26625 ,13509 ,32990 ,11552 ,41998 ,13228 ,35438 ,15307 ,16425 ,8639 ,13840 ,6422 ,14908 ,6102 ,10879 ,5977 ,6625 ,4397 ,1526 ,1509 ,10 ,108 ,0 ,5 ,0 ,0 
Dec.23,2호선,0210,뚝섬,4 ,0 ,2948 ,2320 ,7579 ,15944 ,16429 ,38228 ,24900 ,128268 ,18059 ,89576 ,15650 ,48123 ,21185 ,44841 ,24157 ,42965 ,29774 ,44139 ,36772 ,40995 ,45708 ,40008 ,57483 ,42345 ,85795 ,45190 ,126795 ,50491 ,68181 ,27920 ,48579 ,15486 ,44627 ,13749 ,31321 ,12621 ,13146 ,8769 ,1979 ,3071 ,47 ,258 ,0 ,0 ,0 ,0 
Dec.23,2호선,0211,성수,63 ,0 ,5786 ,3390 ,8980 ,31817 ,20550 ,65573 ,29369 ,237411 ,22486 ,145366 ,21821 ,81287 ,25859 ,75243 ,34488 ,82408 ,46042 ,89346 ,58878 ,86455 ,76430 ,86195 ,99223 ,83534 ,150110 ,84062 ,241758 ,85528 ,124944 ,49311 ,97975 ,24462 ,89282 ,19458 ,66587 ,16618 ,27567 ,12875 ,4135 ,6955 ,75 ,1167 ,0 ,25 ,0 ,0 
